kind,id,payload_json
reifier,reifier_274c32ba7df34021d0306598bd866409f0fe96c182d9435d2b13c5264b5cd6f6,"{""id"":""reifier_274c32ba7df34021d0306598bd866409f0fe96c182d9435d2b13c5264b5cd6f6"",""reifier"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-forgery-held-modality-001""},""statement"":{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-forgery-held-001""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/claimModality""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/refuted""}},""graph"":{""kind"":""default""}}"
reifier,reifier_2e6e46a912810d3be2d88bedb34bfa82f6e1136fa65b28fcd15b4ad624cdde0e,"{""id"":""reifier_2e6e46a912810d3be2d88bedb34bfa82f6e1136fa65b28fcd15b4ad624cdde0e"",""reifier"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-disinformation-dupe-projected-001""},""statement"":{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-dupe-reshare-001""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/projectedStandpoint""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-dupe-belief-001""}},""graph"":{""kind"":""default""}}"
reifier,reifier_2e9a6a91757d048c8c2a4ae705d310f9541edd46431efb1a88efb383fa4030c1,"{""id"":""reifier_2e9a6a91757d048c8c2a4ae705d310f9541edd46431efb1a88efb383fa4030c1"",""reifier"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-disinformation-dupe-participant-001""},""statement"":{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/participation-disinformation-dupe-001""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/participationParticipant""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/agent-dupe-001""}},""graph"":{""kind"":""default""}}"
reifier,reifier_30b628aac9cf03a630e9ec299479a888dd0610c705149bb42ca6a301da6af9ca,"{""id"":""reifier_30b628aac9cf03a630e9ec299479a888dd0610c705149bb42ca6a301da6af9ca"",""reifier"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-crimea-in-ukraine-per-un""},""statement"":{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/crimea""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/containedInPlace""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/ukraine""}},""graph"":{""kind"":""default""}}"
reifier,reifier_35e8f140387ad5a3dec378e69a50f8183e60907d97a299c1b0d0c9b959145d95,"{""id"":""reifier_35e8f140387ad5a3dec378e69a50f8183e60907d97a299c1b0d0c9b959145d95"",""reifier"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-impersonation-implicates-001""},""statement"":{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-impersonation-001""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/implicates""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/identityfacet-impersonation-001""}},""graph"":{""kind"":""default""}}"
reifier,reifier_3e91662e0cb00361dd1c0890fc5962976370d504a564b24a378b71d381f8c38b,"{""id"":""reifier_3e91662e0cb00361dd1c0890fc5962976370d504a564b24a378b71d381f8c38b"",""reifier"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-bullshit-projected-001""},""statement"":{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-bullshit-001""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/projectedStandpoint""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-bullshit-projected-001""}},""graph"":{""kind"":""default""}}"
reifier,reifier_3f359da888727652bc7d98bb926784219490081252111addc65bb359b43de800,"{""id"":""reifier_3f359da888727652bc7d98bb926784219490081252111addc65bb359b43de800"",""reifier"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/music/claim-spectral-key-tonal""},""statement"":{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/music/spectral-key-claim""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/analysisResult""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/pitchValue12EDOE4""}},""graph"":{""kind"":""default""}}"
reifier,reifier_3fb54e672cb4e394e37632f49c06fd2b9f2bc149587a41987509161e0d2f6e27,"{""id"":""reifier_3fb54e672cb4e394e37632f49c06fd2b9f2bc149587a41987509161e0d2f6e27"",""reifier"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/rights/claim-photo-copyright-holder""},""statement"":{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/rights/photo-copyright""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/copyrightHolder""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/rights/jane""}},""graph"":{""kind"":""default""}}"
reifier,reifier_44f4132ef00402ebbb8325ff569960e354d19b651f7b17f05bc415645856854d,"{""id"":""reifier_44f4132ef00402ebbb8325ff569960e354d19b651f7b17f05bc415645856854d"",""reifier"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-disinformation-dupe-held-001""},""statement"":{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-dupe-reshare-001""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/heldStandpoint""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-dupe-belief-001""}},""graph"":{""kind"":""default""}}"
reifier,reifier_46f02c43c8ffe43f0aed02980c4445a233f825527e8d35ef61480a87b583ace1,"{""id"":""reifier_46f02c43c8ffe43f0aed02980c4445a233f825527e8d35ef61480a87b583ace1"",""reifier"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-distortion-held-modality-001""},""statement"":{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-distortion-held-001""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/claimModality""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/probable""}},""graph"":{""kind"":""default""}}"
reifier,reifier_470e39c9c821e51980bbb4615f03233e433bc4c47b85550ed4383738283eea51,"{""id"":""reifier_470e39c9c821e51980bbb4615f03233e433bc4c47b85550ed4383738283eea51"",""reifier"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-self-deception-roles-001""},""statement"":{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-self-deception-001""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/hasParticipant""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/agent-self-001""}},""graph"":{""kind"":""default""}}"
reifier,reifier_484a725c70b4344558722f2619e3625902cf96df286028a0f5327ede44b22827,"{""id"":""reifier_484a725c70b4344558722f2619e3625902cf96df286028a0f5327ede44b22827"",""reifier"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/music/claim-spectral-key-refuted""},""statement"":{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/music/spectral-key-claim""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/analysisResult""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/pitchValue12EDOE4""}},""graph"":{""kind"":""default""}}"
reifier,reifier_48504bbb51108b8fd771ab9f8b4d6be4c45d4e6618bc7bc04d378e48828edf31,"{""id"":""reifier_48504bbb51108b8fd771ab9f8b4d6be4c45d4e6618bc7bc04d378e48828edf31"",""reifier"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-forgery-projected-modality-001""},""statement"":{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-forgery-projected-001""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/claimModality""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/unequivocal""}},""graph"":{""kind"":""default""}}"
reifier,reifier_485b522dde5f6e5929bb5ed1d1b07e0849eab2f707b62e8df0eab21bbac571e7,"{""id"":""reifier_485b522dde5f6e5929bb5ed1d1b07e0849eab2f707b62e8df0eab21bbac571e7"",""reifier"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/music/claim-ai-german-sixth""},""statement"":{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/fixtureRomanNumeralGermanSixthClaim""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/analysisResult""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/harmonicFunctionGermanSixth""}},""graph"":{""kind"":""default""}}"
reifier,reifier_4a365994dbe7107b4dfa960eb0bc8dca1a16c7415a4b25870b0d89707e2f6d97,"{""id"":""reifier_4a365994dbe7107b4dfa960eb0bc8dca1a16c7415a4b25870b0d89707e2f6d97"",""reifier"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-paltering-held-refutes-implicated-001""},""statement"":{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-paltering-001""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/heldStandpoint""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-paltering-held-001""}},""graph"":{""kind"":""default""}}"
reifier,reifier_4b5c51a8c70da31e3bbac4a393ab18fc371b9f1aac7f9c17f24d047e2b7082cd,"{""id"":""reifier_4b5c51a8c70da31e3bbac4a393ab18fc371b9f1aac7f9c17f24d047e2b7082cd"",""reifier"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/music/claim-greensleeves-anonymous""},""statement"":{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/music/greensleeves-work""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/hasComposer""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/music/anonymous-composer""}},""graph"":{""kind"":""default""}}"
reifier,reifier_4fd799aaabd0a1c6518102999b848c9a8e0a6d668612bc5986148487418a4dcb,"{""id"":""reifier_4fd799aaabd0a1c6518102999b848c9a8e0a6d668612bc5986148487418a4dcb"",""reifier"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/rights/claim-mark-holder-omega""},""statement"":{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/rights/contested-trademark""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/trademarkHolder""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/rights/omega""}},""graph"":{""kind"":""default""}}"
reifier,reifier_523ac1e3d70da0f0213034a5e0509ca762444c744f407ffb69da017ff75d539b,"{""id"":""reifier_523ac1e3d70da0f0213034a5e0509ca762444c744f407ffb69da017ff75d539b"",""reifier"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-disinformation-origin-held-modality-001""},""statement"":{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-disinformation-origin-held-001""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/claimModality""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/refuted""}},""graph"":{""kind"":""default""}}"
reifier,reifier_523ff99cb92a37baf4ff1722903281e01208074add5c1af23f551556b6ef852b,"{""id"":""reifier_523ff99cb92a37baf4ff1722903281e01208074add5c1af23f551556b6ef852b"",""reifier"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-event-lie-001""},""statement"":{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-lie-001""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/eventType""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/eventTypeLie""}},""graph"":{""kind"":""default""}}"
reifier,reifier_53f407e0f2da2bb4ec526062d121e1640f146bae75a3dda6fab1d05574be1c9c,"{""id"":""reifier_53f407e0f2da2bb4ec526062d121e1640f146bae75a3dda6fab1d05574be1c9c"",""reifier"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-impersonation-held-modality-001""},""statement"":{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-impersonation-held-001""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/claimModality""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/refuted""}},""graph"":{""kind"":""default""}}"
reifier,reifier_543c6ba1d50238066b2aed23fb2c3b52861ae15bbd516a074bb55d2534455f2c,"{""id"":""reifier_543c6ba1d50238066b2aed23fb2c3b52861ae15bbd516a074bb55d2534455f2c"",""reifier"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-forgery-signature-fail-001""},""statement"":{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/cryptographicsignature-forgery-001""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/hasVerificationStatus""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/verificationStatusFailed""}},""graph"":{""kind"":""default""}}"
reifier,reifier_546673366edfddfb979f9334d7f28e321cd8af8d157a7ca8b5ec89b8629610d6,"{""id"":""reifier_546673366edfddfb979f9334d7f28e321cd8af8d157a7ca8b5ec89b8629610d6"",""reifier"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-distortion-participant-001""},""statement"":{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-distortion-001""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/hasParticipant""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpoint-spin-doctor""}},""graph"":{""kind"":""default""}}"
reifier,reifier_5883569c4399d77b15c4e877d0485e4315620174c6704c543cef232d6c2f5e7c,"{""id"":""reifier_5883569c4399d77b15c4e877d0485e4315620174c6704c543cef232d6c2f5e7c"",""reifier"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-disinformation-dupe-event-binding-001""},""statement"":{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/participation-disinformation-dupe-001""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/participationEvent""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-dupe-reshare-001""}},""graph"":{""kind"":""default""}}"
reifier,reifier_5d915b574026145ed9553f78581b8a8b8c5f43d7510efe35bcb349a7b4b5c247,"{""id"":""reifier_5d915b574026145ed9553f78581b8a8b8c5f43d7510efe35bcb349a7b4b5c247"",""reifier"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-disinformation-dupe-role-001""},""statement"":{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/participation-disinformation-dupe-001""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/participationRole""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/roleDupe""}},""graph"":{""kind"":""default""}}"
