id:ID,:LABEL,eventTime,spdxLicenseId,validUntil
gmeow:examples/identityfacet-impersonation-001,Resource,,,
gmeow:examples/lang-toki-pona,Resource,,,
gmeow:examples/narrative-frame-harry-potter,Resource,,,
gmeow:examples/participation-disinformation-dupe-001,Resource,,,
gmeow:examples/participation-disinformation-origin-deceiver-001,Resource,,,
gmeow:examples/polity-y,Resource,,,
gmeow:examples/proposition-paltering-implicated-001,Resource,,,
gmeow:examples/referenceFrameRobotEndEffector,Resource,,,
gmeow:examples/rights/acme,Resource,,,
gmeow:examples/rights/agent-license-scanner,Resource,,,
gmeow:examples/rights/cc-by-4,Resource,,,
gmeow:examples/rights/contested-trademark,Resource,,,
gmeow:examples/rights/jane,Resource,,,
gmeow:examples/rights/omega,Resource,,,
gmeow:examples/rights/photo,Resource,,,
gmeow:examples/rights/photo-copyright,Resource,,,
gmeow:examples/rights/repo-license,Resource,,Apache-2.0,
gmeow:examples/rights/src-license-deed,Resource,,,
gmeow:examples/rights/src-rights-register,Resource,,,
gmeow:examples/rights/standpoint-acme,Resource,,,
gmeow:examples/rights/standpoint-omega,Resource,,,
gmeow:examples/robot-sensor-standpoint,Resource,,,
gmeow:examples/russia,Resource,,,
gmeow:examples/slam-cell-42,Resource,,,
gmeow:examples/src-civil-register,Resource,,,
gmeow:examples/src-ru-decree,Resource,,,
gmeow:examples/standpoint-2025-historiography,Resource,,,
gmeow:examples/standpoint-analyst,Resource,,,
gmeow:examples/standpoint-avowed-self,Resource,,,
gmeow:examples/standpoint-bullshitter,Resource,,,
gmeow:examples/standpoint-deceiver,Resource,,,
gmeow:examples/standpoint-downstream,Resource,,,
gmeow:examples/standpoint-dupe,Resource,,,
gmeow:examples/standpoint-factchecker,Resource,,,
gmeow:examples/standpoint-forger,Resource,,,
gmeow:examples/standpoint-gregorian-historiography,Resource,,,
gmeow:examples/standpoint-investigator,Resource,,,
gmeow:examples/standpoint-julian-historiography,Resource,,,
gmeow:examples/standpoint-publisher,Resource,,,
gmeow:examples/standpoint-ru,Resource,,,
gmeow:examples/standpoint-spin-doctor,Resource,,,
gmeow:examples/standpoint-tacit-self,Resource,,,
gmeow:examples/standpoint-therapist,Resource,,,
gmeow:examples/standpoint-un,Resource,,,
gmeow:examples/standpoint-verifier,Resource,,,
gmeow:examples/standpointclaim-bullshit-001,Resource,,,
gmeow:examples/standpointclaim-bullshit-held-001,Resource,,,
gmeow:examples/standpointclaim-bullshit-projected-001,Resource,,,
gmeow:examples/standpointclaim-disinformation-origin-held-001,Resource,,,
gmeow:examples/standpointclaim-disinformation-origin-intent-001,Resource,,,
gmeow:examples/standpointclaim-disinformation-origin-projected-001,Resource,,,
gmeow:examples/standpointclaim-distortion-held-001,Resource,,,
gmeow:examples/standpointclaim-distortion-projected-001,Resource,,,
gmeow:examples/standpointclaim-downstream-belief-001,Resource,,,
gmeow:examples/standpointclaim-dupe-belief-001,Resource,,,
gmeow:examples/standpointclaim-fabrication-held-001,Resource,,,
gmeow:examples/standpointclaim-fabrication-projected-001,Resource,,,
gmeow:examples/standpointclaim-forgery-held-001,Resource,,,
gmeow:examples/standpointclaim-forgery-projected-001,Resource,,,
gmeow:examples/standpointclaim-held-001,Resource,,,
gmeow:examples/standpointclaim-impersonation-held-001,Resource,,,
gmeow:examples/standpointclaim-impersonation-projected-001,Resource,,,
gmeow:examples/standpointclaim-lie-held-001,Resource,,,
gmeow:examples/standpointclaim-lie-projected-001,Resource,,,
gmeow:examples/standpointclaim-omission-held-001,Resource,,,
gmeow:examples/standpointclaim-paltering-held-001,Resource,,,
gmeow:examples/standpointclaim-paltering-projected-001,Resource,,,
gmeow:examples/standpointclaim-projected-001,Resource,,,
gmeow:examples/standpointclaim-self-deception-held-001,Resource,,,
gmeow:examples/standpointclaim-self-deception-projected-001,Resource,,,
gmeow:examples/telling-article-001,Resource,,,
gmeow:examples/telling-downstream-blog-001,Resource,,,
gmeow:examples/telling-dupe-post-001,Resource,,,
gmeow:examples/telling-origin-article-001,Resource,,,
gmeow:examples/telling-social-post-001,Resource,,,
gmeow:examples/territory-x,Resource,,,
gmeow:examples/ukraine,Resource,,,
gmeow:examples/verificationresult-fabrication-001,Resource,,,
gmeow:genderWoman,Resource,,,
gmeow:probable,Resource,,,
gmeow:referenceFrameRobotBase,Resource,,,
gmeow:referenceFrameRobotSLAM,Resource,,,
gmeow:refuted,Resource,,,
gmeow:roleDeceiver,Resource,,,
gmeow:roleDupe,Resource,,,
gmeow:unequivocal,Resource,,,
gmeow:veridicalityLicensedFalsehood,Resource,,,
gmeow:veridicalityUntrue,Resource,,,
gmeow:verificationStatusFailed,Resource,,,
