id,source,target,edge_type,rdf_json
edge_14201ad745150210038c6d6eb23a9c34cd602c03d22f03a083f06a4832361f5e,node_c6f2a865be4dbc13290ea139b70a16ebafb9f542f16211e07429ff614ca1442c,node_b01ebe0cdaa0c2f31e7af00e3297c968214e59b45a40ff63b5a1fe0c10bbd74e,https://blackcatinformatics.ca/gmeow/projectedStandpoint,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-disinformation-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/projectedStandpoint"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-disinformation-origin-projected-001""},""graph"":{""kind"":""default""}}"
edge_1561ee54dcb5636971d072892a0558bf6453ed1be40c1463224d95bba8d99a36,node_2ab8ecc4a86aceb7b0022b5df880a50f1d3b5274c2fb72e70a428cd50b354145,node_0680314d269c7b618ee5bc30a837d037a472bdfe6835bd4ceefd615b095dc778,https://blackcatinformatics.ca/gmeow/analysisResult,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/fixtureRomanNumeralGermanSixthClaim""},""predicate"":""https://blackcatinformatics.ca/gmeow/analysisResult"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/harmonicFunctionGermanSixth""},""graph"":{""kind"":""default""}}"
edge_15d078dd38161d5345a1d04d6d06dfd9809d3a10e54a2e8f4e5e80671164b2c5,node_0e6b6eb8e321530099bab678a050cfdd5b9eb02d67750c59805ec2ca82485ed8,node_2c59d80e8d2e0d016d2d44f8f72000b04112fef4fbde22c540705252bc777d71,https://blackcatinformatics.ca/gmeow/projectedStandpoint,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-dupe-reshare-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/projectedStandpoint"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-dupe-belief-001""},""graph"":{""kind"":""default""}}"
edge_15d2b13d609f1c2396c21ec4e4cdaa90bdd53d57c9467e34e33d1dbf1a414146,node_d8a7918ccf645799435d1073289c07aed3ba5b7b56ffc8602ca73cc97c73895c,node_91b6ea02e28fadf5984dbe8d820fcb9a7a8d7284324c819cda0e8074e310692c,https://blackcatinformatics.ca/gmeow/heldStandpoint,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-fabrication-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/heldStandpoint"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-fabrication-held-001""},""graph"":{""kind"":""default""}}"
edge_1a64e641ac406cf64db224561fd29c2c224b6499183a547ee5d1ec7bac2cee14,node_2be479884a26bfb9f12e32cb524f2017d197f5a4cfd92544dccff12fab35b74e,node_9791271b469153c9d2ebe45301d39d7ae54957a30dc6b3eee12444795cc5b8fd,https://blackcatinformatics.ca/gmeow/claimVeridicality,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-hogwarts-in-canon""},""predicate"":""https://blackcatinformatics.ca/gmeow/claimVeridicality"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/veridicalityLicensedFalsehood""},""graph"":{""kind"":""default""}}"
edge_1b3931216df2e2e1575a324b2ba4eedfcf4eb359c5ab867ffc1edfd5b80cddf4,node_51d0726b9e9cdbef9d67eee8f74bb4ad6c0cc283ddd917b10b589f6fb3d82d93,node_0475b08c4a4a15968fcdcccc16fe4d6498cf848fc57f74cb2b903962fa84238d,https://blackcatinformatics.ca/gmeow/heldStandpoint,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-deception-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/heldStandpoint"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-held-001""},""graph"":{""kind"":""default""}}"
edge_1ca424034ba126ce8e168b89b17349ec682e3478d860873bc9ecb91d6e3dcc3d,node_30aaaa4f97ec205909a48461308bcec5ff0f75b0fdd24074f86fc58c595f6fdf,node_1848f2c6384ed5478186f319f24c2da298ec79938924e4b20018f4e6e6236a7b,https://blackcatinformatics.ca/gmeow/eventType,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-lie-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/eventType"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/eventTypeLie""},""graph"":{""kind"":""default""}}"
edge_21b36379ff059704a498b7ace4c4d40c02e0606e0a3099635d45a27af315076b,node_819be48b136a895bb7dda7da5b2f4ee6a7857772fdc6a40622109cda2ae7059e,node_e7485c5e87e232e9f39141f42b1197cc0679f1b35b7c9ea43911508f97f01059,https://blackcatinformatics.ca/gmeow/claimModality,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-lie-projected-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/claimModality"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/unequivocal""},""graph"":{""kind"":""default""}}"
edge_251fc9aabd1e9007fbe6ac1fa161c447e926faef0b2ab370a695fa2b38d70077,node_7b46620c98ffe749e0d44479496a062a1fa0597aade32e4060f9b74e2e256d4c,node_1cce2d44f1b3a29af96a03722ae534a782ad7e6ffbc92e80cc6f2e04b997455e,https://blackcatinformatics.ca/gmeow/hasParticipant,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-distortion-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/hasParticipant"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpoint-spin-doctor""},""graph"":{""kind"":""default""}}"
edge_25fb76717b05779b8df5aef7bd4b4701ca9f8ad3f9d37479c50047083e66e6ab,node_e48da2a31d7db339c83bffbab22698fc151cb55daefc69300c91cac5a629a1da,node_99954cdff83b09017b339a466862786cf56924b2826c1a76a0bfec74a49e2d42,https://blackcatinformatics.ca/gmeow/counterpartOf,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/creativework-forged-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/counterpartOf"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/creativework-genuine-001""},""graph"":{""kind"":""default""}}"
edge_28e440fbefebb62f9bb639e9d325022934d1a98bdceba2b4bc4dd5b89862104a,node_85f5ead7a0d7d42857e91c6175acd34347cdce61683562fcc743ac1b43008e0d,node_83ded583b55bb2f0c1e733c188efe599b6908bb7ad0ebfe145596f8726955dc8,https://blackcatinformatics.ca/gmeow/counterpartOf,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/identity-sockpuppet-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/counterpartOf"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/identity-deceiver-001""},""graph"":{""kind"":""default""}}"
edge_2ce191de6d12fb3f7c979000ec5cf8e403e67a29c9beaad4400669362894b421,node_5b5ecc8046e02d07e7ce2557051800c3a0bb715f192bacb162b0b0687e97f7e2,node_ef397ab614609f32db2ffd194288104a1ebebe0ed55c83b8702c433e65dafe1c,https://blackcatinformatics.ca/gmeow/propagatesFrom,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/telling-social-post-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/propagatesFrom"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/telling-article-001""},""graph"":{""kind"":""default""}}"
edge_2df9adfc56b1187b260961bd1a1b2b7e3593524514e7f229896c1e05e19b833d,node_31465bbbfce827574fce27ecba1caf800ab17316535f242d793b4762a422c0c4,node_29475456a68c742a5dff30459f148ea2f161eb1c14719270212ef70b4fb153a5,https://blackcatinformatics.ca/gmeow/claimModality,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-bullshit-held-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/claimModality"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/bullshit""},""graph"":{""kind"":""default""}}"
edge_3098740bcfa7da2a88e176999e477ec6ce24239f9efa2b30d38ce81282b1c358,node_660ddd6bfab2d64bca33e10d6df394d52e3d62c6d9776b8c821221df6429e53f,node_9d9a2e9c20cdd59e139d0b3b02875cbbe515e4b1c894053ab352494788b78338,https://blackcatinformatics.ca/gmeow/genderValue,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/gi-alice""},""predicate"":""https://blackcatinformatics.ca/gmeow/genderValue"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/genderWoman""},""graph"":{""kind"":""default""}}"
edge_329d0da738995528827dd4cb94bd13e841916f8db7466649644e740e13b1ccf6,node_cf866d1b1df66f992bef7cf968e54273e83b3450c1159cbb8f2f169881da553b,node_92e04731f8b9424b4cd4df64b558e4ab5c9db2be0e2c9f70328ae5b8919d25ce,https://blackcatinformatics.ca/gmeow/claimModality,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-self-deception-held-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/claimModality"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/refuted""},""graph"":{""kind"":""default""}}"
edge_37419ba8425d945724150124fc4e43ee1f0be504fe7e406f751bcd7dd2cbb4fd,node_5d630954975622558b56f63dc946784d2546aefcfea9e60e612e1123070b8e89,node_836e04d5aab736e0eb80fee0652783c5708f301304d9e607abb902eaf7d4a60f,https://blackcatinformatics.ca/gmeow/implicates,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-forgery-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/implicates"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/cryptographicsignature-forgery-001""},""graph"":{""kind"":""default""}}"
edge_37dcfb696e265bed11cf99d505198b14a9b3b722b8eccbf8e18d56457b269799,node_9132582e5f8200cdb0a973165c2296b14e5107a117fd7e7f01bc45ec4e34097a,node_92e04731f8b9424b4cd4df64b558e4ab5c9db2be0e2c9f70328ae5b8919d25ce,https://blackcatinformatics.ca/gmeow/claimModality,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-paltering-held-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/claimModality"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/refuted""},""graph"":{""kind"":""default""}}"
edge_37f3f235d4e29ec2362fedd522b5a89ae789bb957179c0da54efab0b75c5abf0,node_f9b354a365b99376b15db14fdf8f4c56072990fcc0353cc0875dfc8915dc9876,node_92e04731f8b9424b4cd4df64b558e4ab5c9db2be0e2c9f70328ae5b8919d25ce,https://blackcatinformatics.ca/gmeow/claimModality,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-lie-held-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/claimModality"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/refuted""},""graph"":{""kind"":""default""}}"
edge_39f76428e68690e6df17a9e16bfe3b667e827708b46b66c2b1be6d4deac5e2a0,node_c5f5b92707bbd8a44edcc83632e8566d573901cd050501bc74e35e87afc9903f,node_ff32c791426381151d5d16107d89d466ffd765078aba783fc1ddbccc9644a54a,https://blackcatinformatics.ca/gmeow/hasReferenceFrame,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/slam-cell-42""},""predicate"":""https://blackcatinformatics.ca/gmeow/hasReferenceFrame"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/referenceFrameRobotSLAM""},""graph"":{""kind"":""default""}}"
edge_3f3ee5feaf8bb5c0774203a509750df9dc1752a28598d5a4205dcf26139a26fd,node_7b46620c98ffe749e0d44479496a062a1fa0597aade32e4060f9b74e2e256d4c,node_18a8df3feb1bbceb9d59545b58afad302eee6b25a4460e20c1e3b9aec8e7873e,https://blackcatinformatics.ca/gmeow/heldStandpoint,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-distortion-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/heldStandpoint"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-distortion-held-001""},""graph"":{""kind"":""default""}}"
edge_4a455b8d07f9b176a3bbd87fe3d4c5c6fbf931a295719be3a4b2ca055fb93861,node_47f2f673453532351560a5b1b9970ece77811bb550b7f81f8ed5debd70374603,node_827dc19532adeac182f0c002e2cc9c6ab441c260878a3d0bc26fbc58f1f28b60,https://blackcatinformatics.ca/gmeow/assignedMeter,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/music/bar17""},""predicate"":""https://blackcatinformatics.ca/gmeow/assignedMeter"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/music/metricStructure-4_4-plus-3_8""},""graph"":{""kind"":""default""}}"
edge_4d9afdd87477af19ec32d1e893b1c705ba6c0ad3324a0fa01988e26296538f30,node_a1605f1a3806c2d3e6998a0465a2661fb9e7a897c0a7efea592928f4bef64d1e,node_98b131441755331c83755d7393210abf46c0152abe604a2137e99be0e9334097,https://blackcatinformatics.ca/gmeow/facetSubject,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/identityfacet-impersonation-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/facetSubject"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/agent-victim-001""},""graph"":{""kind"":""default""}}"
edge_4fbe58e13f83d358d037669e7636a247ce737e03396bcedb8010b91953e51e95,node_fbc8921ae8f75c0965384b8ef4520131499edabf0678b6250685eb59de42f761,node_dad156d2a8f5bc7bcdd2e7b5c8125200ad0033ded0fc30b32186e2b0f7b56c40,https://blackcatinformatics.ca/gmeow/claimVeridicality,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-downstream-belief-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/claimVeridicality"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/veridicalityUntrue""},""graph"":{""kind"":""default""}}"
edge_500697329edaf8c14c07d959de7f23a8448a342dad08496fd38449bb2414abad,node_5d630954975622558b56f63dc946784d2546aefcfea9e60e612e1123070b8e89,node_59861414bdf0270bf2e02b28cee34423dec47ab2d2815129b330088eadfc51bb,https://blackcatinformatics.ca/gmeow/heldStandpoint,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-forgery-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/heldStandpoint"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-forgery-held-001""},""graph"":{""kind"":""default""}}"
edge_5280f1d2b77956072f3595eeb60ebd5643239537d924ffc7ebf68c92957148a4,node_836e04d5aab736e0eb80fee0652783c5708f301304d9e607abb902eaf7d4a60f,node_ed1d31d40eb05819df570d89fddde1e8b07b4327f46b2f59db8de9ef1a461a28,https://blackcatinformatics.ca/gmeow/hasVerificationStatus,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/cryptographicsignature-forgery-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/hasVerificationStatus"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/verificationStatusFailed""},""graph"":{""kind"":""default""}}"
edge_52ec4c78a30345d00af66fa130186b2225c7e3d5dfcfec362764e1bdf4ecac3e,node_4e0e96b6d0d9328c473f04e152914be35c27f1c23ec53f49cba945dc6e4b8445,node_1e83fb63fe28719b05ce4d9dedb70bfe1ed5ee9de0acd8fb4ca55e1281baec0a,https://blackcatinformatics.ca/gmeow/copyrightHolder,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/rights/photo-copyright""},""predicate"":""https://blackcatinformatics.ca/gmeow/copyrightHolder"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/rights/jane""},""graph"":{""kind"":""default""}}"
edge_52fab05bf9f3d76c3aedd1e619aab6a0ed3d83d79777ceb45ee8ef2f1f71d624,node_0e6b6eb8e321530099bab678a050cfdd5b9eb02d67750c59805ec2ca82485ed8,node_2c59d80e8d2e0d016d2d44f8f72000b04112fef4fbde22c540705252bc777d71,https://blackcatinformatics.ca/gmeow/heldStandpoint,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-dupe-reshare-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/heldStandpoint"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-dupe-belief-001""},""graph"":{""kind"":""default""}}"
edge_535735af83a5c3f75abdf58b38fa0c16035ca1a819ffc75d923467885545abc5,node_47f2f673453532351560a5b1b9970ece77811bb550b7f81f8ed5debd70374603,node_a5310bbeeab259f738ccbc4fb31077c77fdfb9a1396369829beb7813d8d575e4,https://blackcatinformatics.ca/gmeow/assignedMeter,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/music/bar17""},""predicate"":""https://blackcatinformatics.ca/gmeow/assignedMeter"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/metricStructure78""},""graph"":{""kind"":""default""}}"
edge_53793cbd0027d2d9427eab02949097c835270fa283a7395f3b1372d2af58f29d,node_acf3cbd00117679780e3cad73130ed7481fd4854abc845f761d6e31c04fa6003,node_92e04731f8b9424b4cd4df64b558e4ab5c9db2be0e2c9f70328ae5b8919d25ce,https://blackcatinformatics.ca/gmeow/claimModality,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-disinformation-origin-held-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/claimModality"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/refuted""},""graph"":{""kind"":""default""}}"
edge_556134dc1a727c937bc123ccbdff1cab6c6c800ae032d8724d718349c576783d,node_c6f2a865be4dbc13290ea139b70a16ebafb9f542f16211e07429ff614ca1442c,node_d86c25548e25a0f9036f6a17d23269338502906da664e7243a7b4f53db55e40f,https://blackcatinformatics.ca/gmeow/eventType,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-disinformation-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/eventType"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/eventTypeDisinformation""},""graph"":{""kind"":""default""}}"
edge_55a74c4a7e1d1cdbe3040aaa3ed00ffe59ea62a9d73f0a8eebbb03e647decfc6,node_1dfbef9cdc0df926f64dc68342ae99ba7840c84b91e8901d77e36554af3db845,node_c6f2a865be4dbc13290ea139b70a16ebafb9f542f16211e07429ff614ca1442c,https://blackcatinformatics.ca/gmeow/participationEvent,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/participation-disinformation-origin-deceiver-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/participationEvent"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-disinformation-001""},""graph"":{""kind"":""default""}}"
edge_56f06aa30f9c894409022d0b318b662cb080e62934d6847019ccd06bc944d87d,node_cedadacb35ecfbe68f4bbcba2e8a2081e21c8eaf4f48be9d5bf2a43a9316e7fc,node_cbda4aa7e23588379b47f003e238cedf4e0393c7dd241895c97b3968ff2f039e,https://blackcatinformatics.ca/gmeow/projectedStandpoint,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-bullshit-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/projectedStandpoint"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-bullshit-projected-001""},""graph"":{""kind"":""default""}}"
edge_57027e5da0860f9883481f3d8982d17312bfc8dc102f3c6faed2d350e50f568a,node_b3d1be430d57a3d221603e8d7faa1c02cf8946ad72dc90f0109f2136eebd14af,node_e7485c5e87e232e9f39141f42b1197cc0679f1b35b7c9ea43911508f97f01059,https://blackcatinformatics.ca/gmeow/claimModality,"{""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-fabrication-projected-001""},""predicate"":""https://blackcatinformatics.ca/gmeow/claimModality"",""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/unequivocal""},""graph"":{""kind"":""default""}}"
