id,identity_json,labels_json,properties_json
node_04f33df39a4f66ef3aa2263cc51f8432d45839745463354d0db994a0d19f822c,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/rights/claim-mark-holder-acme""}",[],[]
node_0680314d269c7b618ee5bc30a837d037a472bdfe6835bd4ceefd615b095dc778,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/harmonicFunctionGermanSixth""}",[],[]
node_06ac21cbd24ae8577ec7ac3e6b4a42506675278cd730efdd793ec09c86014333,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-self-deception-projected-001""}",[],[]
node_070d5f3cb7d31cb788721a35323f27e64b0b77e645719fc4b09f4ee10183c05a,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/russia""}",[],[]
node_0731f3bfd6a1b4ae0c9d281bda1c280356c7a9580c612dbb4712111237c7d22c,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/music/standpoint-transcriber-a""}",[],[]
node_079727ad1674c46ba4798beadf746e72f5c00c69ce206c7eeff9654df41771e2,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/reifier/48dcc08cba7412ad99d7a65cc9d0db751589d0a2""}",[],[]
node_07b8d833ba6c04a170bfe0eeea12855ff8fe0d2055f384fbd1a69c6390ecd6ad,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-factcheck-001""}",[],[]
node_088a4615c5dbe221704ee21e6f10b0a76981cd71fe0b2407947302a959bed3ca,"{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/participation-disinformation-origin-deceiver-001""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/participationParticipant""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/agent-deceiver-001""}}",[],[]
node_09ba9e7a40217b379729f5467bcc5dcdade92617427b4660413ab73701732c0f,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-forgery-projected-001""}",[],[]
node_0a8cadb3c5c3598e7dea9e8768f3a9170be16222c9036e1101352985f0a0b0ca,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-disinformation-origin-held-001""}",[],[]
node_0aa9513e3841e05536c796b8b779f1a5da38e36fe161bd1780c79bdbe715cd06,"{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-disinformation-001""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/heldStandpoint""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-disinformation-origin-held-001""}}",[],[]
node_0ce89154862bd59e4b2f31ca528f6a7412dc9cc241d8fb4531fb01c52ec5de3b,"{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/referenceFrameRobotEndEffector""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/parentFrame""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/referenceFrameRobotBase""}}",[],[]
node_0d56b92f532792325cb558cd3a6e418be25134ca626c5cdf01ed8eb81d192a6f,"{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/cryptographicsignature-forgery-001""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/hasVerificationStatus""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/verificationStatusFailed""}}",[],[]
node_0de274e272864ffcf53be39a7d94c9f9506640d6028a7354190c1b8a72680bf5,"{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/slam-cell-42""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/hasReferenceFrame""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/referenceFrameRobotSLAM""}}",[],[]
node_0e6b6eb8e321530099bab678a050cfdd5b9eb02d67750c59805ec2ca82485ed8,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-dupe-reshare-001""}",[],[]
node_0e9cf57fb66084902e469f226de33b8f611c6feec53c9a9355935a80b12984dd,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/agent-deceiver-001""}",[],[]
node_100dc2d4b5a39dce306b2b182a8fa23bc7579012878e60779322f89059de1bd3,"{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-fabrication-001""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/heldStandpoint""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-fabrication-held-001""}}",[],[]
node_102dfebd336114836947cd3a7a747e6e5e8af2d049d6dfb383a438b01f5489c2,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-fabrication-implicates-001""}",[],[]
node_12fce2b16ff88c327e0414226040c34484bbb6c671627a4e0c637ed56215d283,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-fiction-narrative-frame-001""}",[],[]
node_14569581a5ba27340c829246c0a05a75dd192dec26420ee9489e9bddfbf2382a,"{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/identity-sockpuppet-001""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/counterpartOf""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/identity-deceiver-001""}}",[],[]
node_147a8f9a6706ef3e82ce9c5eff5a1b6cf42b088a3448bf3ec21b56b209025d79,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/rights/claim-photo-copyright-holder""}",[],[]
node_148dcb25899e0d9ae56cec70930ca50a8717f66c669067dbd052399aab920cf9,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-disinformation-downstream-projected-001""}",[],[]
node_156c34b5ddddb54676460bafdd80612de0d75784ab6415024eed45940f634817,"{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-distortion-001""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/hasParticipant""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpoint-spin-doctor""}}",[],[]
node_15bba8a77aeb109c8ea509cfbe6029a00573f04ddcfb48c325b56bc25afe729d,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/music/claim-spectral-key-refuted""}",[],[]
node_1619ce05fb9ddf4f34a900b8f0a9e787a6b05246436e655ecc23029c5ecfa88f,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-lie-projected-001""}",[],[]
node_164ca194586b6ce1461366f9fdc1dedf21c71aefb094579a4d9686c7958cc54c,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-event-paltering-001""}",[],[]
node_16b8cc859216749b85312bd93d0565d4fc43fb0d76e37e02e37a98247aaff999,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-self-deception-projected-modality-001""}",[],[]
node_16dc801c79a0823f6c139284f8b1233ba6701d6f44c4e0f19fa6f94e21fdb842,"{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-bullshit-001""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/heldStandpoint""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-bullshit-held-001""}}",[],[]
node_16e3ebec05e37d0bc154b65c4c14bf102b5829f7464d7009435e22612ae53033,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/eventTypeSelfDeception""}",[],[]
node_17aaea17a153213fae8d37c70db78aef9d64148d2b39d1b9cf60da20f69f6d1b,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpoint-deceiver""}",[],[]
node_17b1c6f8e85818a52a6535caad1d6dcbae280bac2d91e5026842864d9166fdf3,"{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-lie-001""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/heldStandpoint""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-lie-held-001""}}",[],[]
node_1848f2c6384ed5478186f319f24c2da298ec79938924e4b20018f4e6e6236a7b,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/eventTypeLie""}",[],[]
node_18598025f0cc2077d86be0641c2a848fb5b9ec13e30692a2b47cb1249ea07d97,"{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-omission-001""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/heldStandpoint""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-omission-held-001""}}",[],[]
node_1893cd3d20ba2649d03daad8b05d74195029992011dadcbb7be4a5dfde530d79,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-event-lie-001""}",[],[]
node_18a8df3feb1bbceb9d59545b58afad302eee6b25a4460e20c1e3b9aec8e7873e,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-distortion-held-001""}",[],[]
node_19e0215745e4d23e8aa172dd5e95fe301ff81941bbcb992cd88de95358cbe001,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-lie-held-modality-001""}",[],[]
node_1aaec576592cf08d11382b4ed60606005496631308e27946bea4cf2fd8b50d25,"{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/ai/east-wing""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/validUntil""},""object"":{""kind"":""literal"",""lexical"":""2026-12-31T22:00:00Z"",""datatype"":""http://www.w3.org/2001/XMLSchema#dateTime"",""language"":null,""direction"":null}}",[],[]
node_1c0a0e0d1302621356f2391e5ccbe36512ce18236008f4dc2d0a41dc2bc80dfa,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-omission-001""}",[],[]
node_1c3bbc2643ebfbb60896bca5fac7afcc0571b26c4aa065988119c66d10a3672c,"{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-downstream-belief-001""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/claimModality""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/unequivocal""}}",[],[]
node_1cce2d44f1b3a29af96a03722ae534a782ad7e6ffbc92e80cc6f2e04b997455e,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpoint-spin-doctor""}",[],[]
node_1d4ca5830464de0d11de7d6505869e4e148b712238269695b3f2214d3b51d6af,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/src-civil-register""}",[],[]
node_1dfbef9cdc0df926f64dc68342ae99ba7840c84b91e8901d77e36554af3db845,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/participation-disinformation-origin-deceiver-001""}",[],[]
node_1e83fb63fe28719b05ce4d9dedb70bfe1ed5ee9de0acd8fb4ca55e1281baec0a,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/rights/jane""}",[],[]
node_1f05135ca714da6f3d4cfd517e6e8dfc8b9347b4d3072dc0d5f0847063fb5d7b,"{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-dupe-reshare-001""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/projectedStandpoint""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-dupe-belief-001""}}",[],[]
node_1fe5614cc32353824d707a633911aa3e1f6c55a6066b6ffa0089f4ea2a6ac205,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/agent-self-001""}",[],[]
node_206d96a728dc6ae7dfe23e126bdc41ddbccd366788a6012ec332538cb897ad7c,"{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/fixtureMathRockWork""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/hasGenre""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/genreMathRock""}}",[],[]
node_210d2057f3eac82e92fbd3bff6fdd7c4f4ad2cb41fe1e7bbbeb2c0e9261f6d4c,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-date-gregorian-1582""}",[],[]
node_2118e5ba0971d82b4ec9a2febee35180cb1425d6b23a3417998f1924ec4a44e3,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-impersonation-projected-001""}",[],[]
node_2139a5951602d8cf974eafd5796296f149399c2eab043b62f57659d6e384da23,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/music/standpoint-musicological-consensus""}",[],[]
node_2418de956458a7db208bcec96621ed6ddae07a45d5041b4d5efc36377d65f434,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-impersonation-001""}",[],[]
node_244b7683d014aec273671836e1db137aae7fcc57c14a1cb0d12cefd02aff5c51,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-event-omission-001""}",[],[]
node_246a5fbe7705540c06c247064a853073df5e735dd5f6ae15a6b0db7806995953,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/probable""}",[],[]
node_25ffd6b7ceed2735493f815644b4750038fddb67c904585fa874ebbe2aa31747,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-forgery-held-001""}",[],[]
node_2917081e46473dd73386e94895008d6c9c03749fd399244fc57bc3a9b768c1a5,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-disinformation-dupe-projected-001""}",[],[]
node_29475456a68c742a5dff30459f148ea2f161eb1c14719270212ef70b4fb153a5,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/bullshit""}",[],[]
node_2a2c7714bba5c32a65b12660bd986332fa918ef9598647454c2bec26289e2863,"{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-lie-001""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/eventType""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/eventTypeLie""}}",[],[]
node_2ab8ecc4a86aceb7b0022b5df880a50f1d3b5274c2fb72e70a428cd50b354145,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/fixtureRomanNumeralGermanSixthClaim""}",[],[]
node_2b6a2c6ca0fa20347f92442998eb26460b3346c56a793d708a86ae57ffbf0416,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-impersonation-held-001""}",[],[]
node_2b90b6b2b72dd035853bf28745c18363ba85ddd5a19960a205b01c66b9f3cef1,"{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-downstream-reshare-001""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/projectedStandpoint""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-downstream-belief-001""}}",[],[]
node_2be479884a26bfb9f12e32cb524f2017d197f5a4cfd92544dccff12fab35b74e,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-hogwarts-in-canon""}",[],[]
node_2c0fe2975d901163a507d1c1e79acd9653fca3bfb256705fa6b1595c5345f5b5,"{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/rights/repo-license""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/spdxLicenseId""},""object"":{""kind"":""literal"",""lexical"":""Apache-2.0"",""datatype"":""http://www.w3.org/2001/XMLSchema#string"",""language"":null,""direction"":null}}",[],[]
node_2c23c26153364c5636a2a2999ce66817e26f3813783a8add0e014c6d6535a5bb,"{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-bullshit-001""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/projectedStandpoint""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-bullshit-projected-001""}}",[],[]
node_2c59d80e8d2e0d016d2d44f8f72000b04112fef4fbde22c540705252bc777d71,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-dupe-belief-001""}",[],[]
node_2c5dd18958a913f8807005c103f3267e9318469f913def65b77127092d148ac9,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-impersonation-facet-subject-001""}",[],[]
node_2d0c7b9e8c2fe187f75c167d9d92628b4dc658968d10455acc2b128d3f4c1aff,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-paltering-held-refutes-implicated-001""}",[],[]
node_2d907c80273d65e74ee9ae17b692861e7cb98e1259f43a4940558cfad20faaea,"{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-impersonation-held-001""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/claimModality""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/refuted""}}",[],[]
node_2dd9ddca140d897ddc0b6eae350fbb11565cb4bc7a172c73973ebb96696bfda2,"{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/aiCommit""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/authoredBy""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/copilot""}}",[],[]
node_2e9354d9f833d4292a0358f98b14806c6796ab15504b1e9eeba3af6bdcf7988c,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpoint-julian-historiography""}",[],[]
node_3070827417489fb6d2367cf73f56b6c5600dd42f9d2caf9920c8a16d37d78aad,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/eventTypeOmission""}",[],[]
node_30aaaa4f97ec205909a48461308bcec5ff0f75b0fdd24074f86fc58c595f6fdf,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-lie-001""}",[],[]
node_31465bbbfce827574fce27ecba1caf800ab17316535f242d793b4762a422c0c4,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-bullshit-held-001""}",[],[]
node_324efd0ce49017645bf18af56f7eb00b5e1cc4752bc375af6005d474a7f97fe8,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-disinformation-dupe-participant-001""}",[],[]
node_32c5b2b767569e7ccb9f4985b3df69da47a26f45c61c5cfc34ad4e8dbb7e5e20,"{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-forgery-held-001""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/claimModality""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/refuted""}}",[],[]
node_33d1e82d58978f5e08da6de1daa7f8a4c6baf76575078c15730f3e8b814bcfaf,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/music/anonymous-composer""}",[],[]
node_358042f497b254b5e24bd4edb607293e0faa5e2a8c29468c86b16c23e8a55368,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-omission-held-modality-001""}",[],[]
node_37e1c9df539e3b0f33fa1edc5277e9c851a9a86855ce5cd9e499a7ca2a97ef66,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/eventTypeFabrication""}",[],[]
node_386cb43a6c2aa4f34b5316e65b91b43a252e44ef95e23866e784534c1d4a2345,"{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/creativework-forged-001""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/counterpartOf""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/creativework-genuine-001""}}",[],[]
node_388945bd1e7984f4dbe9b855e05645a8c9969d291f3d3b08283aa12f37834422,"{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-downstream-belief-001""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/claimVeridicality""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/veridicalityUntrue""}}",[],[]
node_39acebc55e88f54804637c85e05f9cbd6e51a352e85b250077676179ac3b15fb,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-forgery-projected-001""}",[],[]
node_39c0410bf84f3d3c27e7476ecc41ade521d8b6326318adc327101698bb760b46,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/rights/standpoint-omega""}",[],[]
node_3a81e112a9a414fe03b3c44427f775d011670ea58b37a8a85f9f46ee17612e8a,"{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpointclaim-fabrication-held-001""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/claimModality""},""object"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/refuted""}}",[],[]
node_3a89ec8bc2955ca411f81e61245269cf23ac12354219687459def60b043699a7,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/rights/cc-by-4""}",[],[]
node_3c15898454e3c34ebbce265bfb815d9e89884322625c217e1b0dedccb24e2baa,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-paltering-001""}",[],[]
node_3c4225bb0db8e4da3fb2c98f69a4f363bcde7d79560b3ad60050d31d6e7e9f45,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/claim-event-impersonation-001""}",[],[]
node_3d16f76bb2cf4bf96bda946529ee40c66c7bd341b88bd614fbdd89d5dcff277f,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/participation-disinformation-dupe-001""}",[],[]
node_3d4d2772baf7daeecac8322a9de06d9dc909638bdc95b527988948a597f98045,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/standpoint-publisher""}",[],[]
node_3daed4024407368af8805bde1a82b53b1221ae3517440eb3291822ca9209f9f5,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/music/claim-not-math-rock-band""}",[],[]
node_3dd879327a84b52ec583de9a0a251915ca7bf08dfc0b6c96c430b5c58eec5816,"{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/rights/acme""}",[],[]
node_3e447daacd1c8f603c21e444f41a37eb55d4d9c1fb78128138ade34c7e782d24,"{""kind"":""triple"",""subject"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/examples/event-reformation-date""},""predicate"":{""kind"":""iri"",""value"":""https://blackcatinformatics.ca/gmeow/eventTime""},""object"":{""kind"":""literal"",""lexical"":""1582-10-05T00:00:00Z"",""datatype"":""http://www.w3.org/2001/XMLSchema#dateTime"",""language"":null,""direction"":null}}",[],[]
